,degree
11202,7
10240,43
10598,6
10001,80
10413,12
11447,17
10405,25
10162,13
10462,22
10038,21
11133,27
10761,11
11339,4
10703,42
11493,16
10860,18
11358,36
10841,10
10545,12
10159,11
11496,18
10630,37
10099,8
11526,4
10942,2
10635,11
9729,27
10263,20
10578,15
9817,1
9788,61
11372,34
9772,5
10121,3
9871,10
11394,28
10268,34
10496,17
9808,8
10526,17
11457,33
10007,8
10525,2
11181,8
11420,12
10564,22
10152,9
10262,33
10379,33
11033,23
11128,74
10987,49
10617,17
9880,5
10739,43
10326,22
10034,17
10000,11
11388,8
11044,7
9733,8
10320,18
9781,30
10060,21
10275,9
10756,18
11259,18
11106,4
10307,12
11503,8
9922,18
11239,25
10716,7
10491,18
10543,17
9756,7
11247,49
10238,11
10029,8
9779,18
11378,32
11443,15
11240,5
11057,24
10900,6
10372,13
9913,5
11137,49
10014,7
11326,19
9824,20
10498,8
10103,34
10499,3
10497,10
9742,4
9847,21
10500,21
9822,19
10771,5
10019,30
11276,19
10490,45
11090,5
9758,6
11403,23
10654,21
10280,29
9921,33
11511,8
10246,19
10479,3
11390,15
10049,11
10119,1
10670,14
11487,19
9739,1
9789,8
11251,9
11220,8
10058,23
10650,1
10430,14
11244,20
10815,11
11099,18
10412,23
10039,8
11257,26
11382,27
10088,9
10375,33
9912,12
10504,3
10469,15
10132,18
10334,39
10861,23
10868,38
9958,10
11292,3
11268,15
11482,25
10803,15
11387,4
10720,8
11309,9
9966,26
10560,37
10070,32
10561,54
11462,16
9728,16
11304,11
10302,13
10147,27
10163,12
11284,13
9763,18
10045,22
11512,48
10071,44
10571,11
10878,6
11010,14
10151,31
9895,38
11419,10
11399,11
10229,9
9787,5
10690,32
11158,12
10002,27
10340,1
9838,78
9837,84
10934,10
9960,32
10480,23
11127,74
11124,54
10123,29
10292,17
9950,28
9818,65
10042,6
10649,13
10074,18
10980,8
11273,11
10248,11
11054,6
10728,16
11435,7
10209,2
9726,4
11047,26
11214,17
11424,3
9768,9
10298,7
10273,10
10139,10
10843,18
10057,23
10422,7
11497,19
10540,14
10905,6
10582,12
10333,49
11196,36
10757,14
11264,14
11467,11
10343,10
10388,10
10129,12
10589,27
10463,33
10669,8
10306,38
11093,10
10395,22
11216,7
10846,8
10342,16
11468,40
11454,40
11450,12
11200,23
11183,10
11245,24
10665,9
11113,20
10327,7
11270,9
10271,12
11328,2
11037,10
9969,13
11488,14
11026,9
11027,11
11500,12
11527,4
10305,2
10888,4
10907,27
10865,127
11422,22
9888,13
10973,2
10702,9
11464,11
11442,27
10190,22
10010,8
10881,43
11115,13
10530,19
9752,13
11407,13
11312,7
11004,18
11055,8
11083,5
10461,40
10009,10
10538,6
9777,8
10755,19
9925,16
11290,20
11346,13
11469,15
11001,15
11380,23
11002,5
10120,4
10133,7
10097,39
10141,9
9750,15
10899,6
10553,4
10124,12
11068,9
9904,7
11533,17
10048,19
11098,36
11279,8
9978,15
11331,15
10948,32
11118,9
10339,4
10180,19
11154,19
10751,4
10845,9
10514,1
11458,10
10699,10
11501,20
11297,1
10609,9
10943,7
11204,7
9725,17
10125,5
10947,31
10012,10
10706,15
10631,12
10104,7
10520,10
10387,19
10236,29
11023,9
11108,18
11182,23
11237,12
10063,25
10233,8
10994,10
11277,31
10828,20
10351,12
10892,14
10164,5
9985,37
9946,17
11100,19
11136,21
10191,15
10086,13
11019,6
11434,24
11340,14
9730,3
11381,8
9804,10
11114,11
11153,22
11218,7
10712,8
10140,9
11191,29
11456,15
10321,60
10596,8
10376,11
11492,9
10037,11
10831,17
10656,16
10374,12
10882,10
9827,11
10747,4
10686,8
10204,38
10811,8
9722,23
10974,4
10834,10
11538,16
11109,15
10855,21
10931,10
10886,10
10260,7
10709,12
9854,17
11250,23
11003,5
10623,5
10837,17
9773,14
10951,6
10760,17
9801,14
10523,4
10895,5
9867,5
10509,3
10089,6
10591,11
10249,2
10315,1
9989,11
11017,3
10956,17
10464,13
10926,8
10616,15
11507,16
11389,8
11261,19
10782,9
10349,10
11513,18
10353,7
10880,2
10625,4
11046,2
10901,26
9889,21
10944,15
10996,29
10879,15
10982,17
10184,6
11209,1
11188,12
11169,10
10581,29
10711,9
10825,17
11021,3
11156,3
11050,21
10985,1
10577,5
10257,13
9834,17
10442,19
11103,6
9855,11
10797,1
10020,28
10536,18
11201,7
10466,11
10718,6
11009,4
10135,5
10790,9
10893,4
11011,6
9784,19
11333,7
11018,25
10008,17
10723,5
11355,30
10454,13
10835,11
10426,10
11274,6
11139,12
11291,25
11408,18
10614,8
10684,7
9942,16
9732,33
10626,9
10270,17
10731,30
9782,9
9908,6
9982,8
10655,9
11069,5
11117,11
10781,14
11539,14
10169,2
10819,27
11319,3
10511,7
10455,12
10586,7
10401,6
11440,20
10726,8
11460,17
9845,3
11199,5
10492,14
11042,22
10160,36
11352,12
10488,7
10150,15
10224,13
10965,6
11119,5
10056,2
10817,2
9914,3
10740,13
10912,2
11329,4
10118,25
10300,4
11325,8
10823,8
10664,3
11155,22
11081,9
10734,10
11310,11
10434,2
11289,14
10679,1
11112,4
10715,21
11242,7
11194,7
10182,16
11401,19
11476,3
11505,9
9906,9
11402,7
11219,12
10283,3
10762,4
10485,6
10990,17
11490,10
10636,14
11053,15
10146,15
11096,11
9970,3
10758,5
11179,8
10576,10
11441,23
10535,16
11412,8
10962,21
11085,6
10459,9
10991,2
11448,8
9936,5
11067,6
11020,8
10403,6
10075,13
9738,9
11095,7
10552,19
9857,9
9973,16
9971,15
10226,3
11032,37
10050,11
10935,12
11056,2
9724,23
10627,8
10851,5
11486,6
10043,3
10047,3
9988,7
9803,7
11459,1
11451,5
11484,7
10328,9
11413,4
11094,1
10208,14
10967,10
10774,9
10483,10
10827,6
11104,2
9748,16
10877,5
10439,9
10875,7
10871,11
10929,26
9939,8
9807,3
10100,24
10869,2
10337,12
10145,12
10537,21
10165,15
10824,2
10775,3
10046,5
11528,5
9761,5
10157,1
11197,18
11300,8
10390,7
10908,6
9791,9
10035,24
9869,11
10313,4
11045,4
9860,11
9851,8
10666,7
11132,9
11350,11
10170,10
11176,12
10506,6
9945,19
10341,9
10189,7
10937,8
10989,3
9783,5
10297,11
9753,11
11227,37
10637,20
11210,3
11236,4
11295,4
10433,9
10127,7
11184,10
11302,2
10396,17
10657,15
10960,2
10531,22
10998,14
11283,11
10102,10
10836,5
9843,9
10237,9
10745,4
11446,6
11022,19
10911,6
11035,2
10069,9
11398,4
10776,15
11330,22
11429,20
10913,25
9997,10
10638,3
11091,5
10061,5
11313,3
11498,4
10090,18
11084,12
10872,5
9876,9
11077,1
10232,5
9836,7
10227,5
9892,13
10267,11
9754,4
11163,6
10231,5
9998,5
11348,1
10291,13
11203,9
11327,1
9800,1
10220,9
10345,10
10856,4
11365,3
10261,8
11066,7
11519,6
10310,3
11535,2
9927,17
10303,9
10618,9
10833,2
10027,11
10230,2
10210,3
10611,4
10143,5
10647,10
10186,11
10428,2
10512,6
11025,16
11345,12
11073,4
10068,2
10203,2
10438,3
10281,7
10218,3
11298,4
10486,6
11396,6
10792,9
10083,12
11428,1
9884,4
10541,17
9833,10
11418,11
11430,4
10513,1
10639,5
9881,8
11515,7
10393,5
10222,4
10352,12
9886,2
11480,4
11107,5
10874,1
10986,4
11281,8
9986,1
11431,2
9944,3
10918,4
10624,2
10091,6
11371,5
11286,6
10787,5
10940,4
9990,8
10585,10
11267,5
10386,4
11320,1
11282,14
9743,4
10011,1
10228,4
11453,3
9792,7
10658,8
10857,4
9937,7
10153,3
9825,5
10156,4
11082,6
11260,7
10858,3
11249,7
10368,5
10683,7
10385,4
11353,2
10087,1
11172,6
11148,7
10344,8
11315,10
11278,8
9863,6
10245,2
10668,7
10707,9
11449,6
10329,3
10155,11
9747,3
11062,5
11064,4
11296,6
10736,6
10311,6
10425,4
10910,1
9977,6
10330,7
10992,8
10148,4
10883,3
11159,7
10821,3
11150,8
10788,5
10299,6
9744,3
10945,4
11341,5
11212,2
9967,4
10661,4
11518,1
10131,5
11414,1
10098,1
10955,5
11321,4
10969,4
9905,4
10411,6
10689,7
9821,3
11193,3
10318,8
9948,7
10534,14
11534,1
10595,3
11473,8
11102,11
11530,6
11531,1
9894,4
11065,1
10348,6
9745,4
10200,1
11230,4
9878,6
11379,5
10672,9
9893,6
11318,2
10254,2
9741,5
11213,4
11495,1
9929,2
9935,2
9891,5
10572,7
10667,2
9795,4
11405,6
10453,8
10610,1
11375,6
9885,1
9823,1
10503,1
11043,4
10579,1
11514,1
10642,1
9737,1
10059,1
11262,3
10675,1
11400,4
9806,2
11540,4
10252,2
11271,5
10106,1
9720,2
11438,1
10743,6
9849,6
11135,2
11317,5
9764,3
10350,2
9896,2
11280,4
9794,1
10697,4
10580,2
10188,3
11474,3
10013,2
10112,4
11275,4
9961,6
9999,4
9719,1
10359,3
10051,3
10701,3
11235,2
10383,1
10296,3
11205,2
9900,1
11151,1
10284,2
10501,1
11225,1
11411,1
11024,1
10548,3
11039,1
10521,5
10176,1
11116,3
9717,2
11080,1
10682,3
10932,2
10714,1
